n	med1	med2	cens
5	1	1	0
10	1	1	0
15	1	1	0
20	1	1	0
25	1	1	0
30	1	1	0
35	1	1	0
40	1	1	0
45	1	1	0
50	1	1	0
5	1	1.2	0
10	1	1.2	0
15	1	1.2	0
20	1	1.2	0
25	1	1.2	0
30	1	1.2	0
35	1	1.2	0
40	1	1.2	0
45	1	1.2	0
50	1	1.2	0
5	1	1.4	0
10	1	1.4	0
15	1	1.4	0
20	1	1.4	0
25	1	1.4	0
30	1	1.4	0
35	1	1.4	0
40	1	1.4	0
45	1	1.4	0
50	1	1.4	0
5	1	1.6	0
10	1	1.6	0
15	1	1.6	0
20	1	1.6	0
25	1	1.6	0
30	1	1.6	0
35	1	1.6	0
40	1	1.6	0
45	1	1.6	0
50	1	1.6	0
5	1	1.8	0
10	1	1.8	0
15	1	1.8	0
20	1	1.8	0
25	1	1.8	0
30	1	1.8	0
35	1	1.8	0
40	1	1.8	0
45	1	1.8	0
50	1	1.8	0
5	1	2	0
10	1	2	0
15	1	2	0
20	1	2	0
25	1	2	0
30	1	2	0
35	1	2	0
40	1	2	0
45	1	2	0
50	1	2	0
5	1	1	0.1
10	1	1	0.1
15	1	1	0.1
20	1	1	0.1
25	1	1	0.1
30	1	1	0.1
35	1	1	0.1
40	1	1	0.1
45	1	1	0.1
50	1	1	0.1
5	1	1.2	0.1
10	1	1.2	0.1
15	1	1.2	0.1
20	1	1.2	0.1
25	1	1.2	0.1
30	1	1.2	0.1
35	1	1.2	0.1
40	1	1.2	0.1
45	1	1.2	0.1
50	1	1.2	0.1
5	1	1.4	0.1
10	1	1.4	0.1
15	1	1.4	0.1
20	1	1.4	0.1
25	1	1.4	0.1
30	1	1.4	0.1
35	1	1.4	0.1
40	1	1.4	0.1
45	1	1.4	0.1
50	1	1.4	0.1
5	1	1.6	0.1
10	1	1.6	0.1
15	1	1.6	0.1
20	1	1.6	0.1
25	1	1.6	0.1
30	1	1.6	0.1
35	1	1.6	0.1
40	1	1.6	0.1
45	1	1.6	0.1
50	1	1.6	0.1
5	1	1.8	0.1
10	1	1.8	0.1
15	1	1.8	0.1
20	1	1.8	0.1
25	1	1.8	0.1
30	1	1.8	0.1
35	1	1.8	0.1
40	1	1.8	0.1
45	1	1.8	0.1
50	1	1.8	0.1
5	1	2	0.1
10	1	2	0.1
15	1	2	0.1
20	1	2	0.1
25	1	2	0.1
30	1	2	0.1
35	1	2	0.1
40	1	2	0.1
45	1	2	0.1
50	1	2	0.1
5	1	1	0.2
10	1	1	0.2
15	1	1	0.2
20	1	1	0.2
25	1	1	0.2
30	1	1	0.2
35	1	1	0.2
40	1	1	0.2
45	1	1	0.2
50	1	1	0.2
5	1	1.2	0.2
10	1	1.2	0.2
15	1	1.2	0.2
20	1	1.2	0.2
25	1	1.2	0.2
30	1	1.2	0.2
35	1	1.2	0.2
40	1	1.2	0.2
45	1	1.2	0.2
50	1	1.2	0.2
5	1	1.4	0.2
10	1	1.4	0.2
15	1	1.4	0.2
20	1	1.4	0.2
25	1	1.4	0.2
